Id;X;Y;Demand
1;749;750;170,9
2;960;879;43,6
3;914;116;84,4
4;517;477;181,5
5;554;143;171,8
6;850;488;139,7
7;739;177;136,2
8;229;160;137,6
9;539;573;135,7
10;901;821;116,1
11;787;399;159,2
12;974;203;100,8
13;89;387;120,9
14;561;27;52,0
15;103;139;164,8
16;174;826;45,9
17;40;578;188,1
18;359;23;83,4
19;440;649;128,8
20;588;265;110,7
21;182;275;97,7
22;401;993;77,9
23;751;564;159,3
24;797;274;159,9
25;756;252;134,2
26;871;882;90,2
27;693;417;59,3
28;710;620;172,9
29;960;422;97,1
30;530;904;138,1
31;124;126;150,1
32;67;587;109,4
33;440;336;118,5
34;219;38;105,3
35;609;504;90,3
36;936;474;69,3
37;800;689;70,0
38;358;530;55,8
39;914;753;186,2
40;210;96;170,2
41;95;816;180,1
42;441;389;174,3
43;506;963;105,0
44;114;285;138,8
45;333;191;109,4
46;545;892;125,4
47;59;618;121,3
48;698;385;60,0
49;977;931;70,0
50;822;79;42,9
51;951;91;86,6
52;341;759;165,3
53;439;290;149,8
54;1;258;70,4
55;756;147;144,4
56;252;284;72,0
57;588;168;121,1
58;895;501;61,4
59;759;442;166,7
60;967;855;176,1
61;244;601;145,9
62;888;148;180,6
63;442;18;51,9
64;847;877;130,3
65;683;267;51,6
66;446;301;114,1
67;997;815;176,0
68;586;777;84,1
69;129;986;48,4
70;613;331;99,8
71;811;156;107,0
72;704;494;183,9
73;265;216;101,6
74;511;373;120,6
75;981;261;69,5
76;48;985;115,8
77;723;558;144,5
78;839;828;186,9
79;803;737;55,3
80;296;719;129,1
81;589;252;172,2
82;374;862;123,5
83;277;82;184,0
84;451;183;84,6
85;904;681;142,2
86;474;908;92,9
87;609;185;184,9
88;346;382;122,6
89;158;866;107,8
90;572;161;118,3
91;704;828;168,1
92;142;331;188,8
93;801;969;114,4
94;680;88;52,8
95;672;178;162,5
96;827;566;41,3
97;728;793;61,6
98;888;917;40,9
99;326;298;114,3
100;718;636;125,1
101;792;283;64,4
102;866;141;177,6
103;682;640;68,1
104;961;604;64,3
105;299;23;129,4
106;358;22;193,4
107;460;546;107,4
108;27;552;135,8
109;508;739;52,9
110;692;85;114,1
111;582;748;63,3
112;220;76;162,0
113;128;795;119,6
114;268;622;104,8
115;673;871;141,6
116;167;789;94,8
117;827;698;48,8
118;68;190;185,7
119;561;928;87,2
120;328;817;153,7
121;719;595;139,9
122;152;111;38,0
123;780;824;122,4
124;486;302;93,9
125;877;775;161,0
126;156;976;179,2
127;62;854;166,5
128;257;906;46,6
129;824;163;45,5
130;796;134;100,2
131;848;204;39,4
132;581;299;94,4
133;37;832;110,0
134;364;210;64,9
135;778;453;153,3
136;229;676;149,9
137;448;488;110,7
138;234;586;89,0
139;194;65;162,0
140;300;238;68,7
141;939;983;175,4
142;354;914;50,7
143;647;901;43,9
144;719;709;163,8
145;845;806;60,4
146;753;610;104,8
147;384;707;169,5
148;741;825;188,2
149;457;590;60,3
150;35;357;112,8
151;862;623;105,3
152;447;838;135,5
153;518;607;58,0
154;886;602;86,3
155;235;680;70,8
156;249;16;146,5
157;724;269;102,6
158;567;58;95,2
159;865;296;103,1
160;387;143;43,8
161;222;629;150,2
162;419;205;89,4
163;813;784;103,6
164;426;19;155,6
165;116;881;130,7
166;361;788;59,4
167;346;845;174,1
168;762;959;100,7
169;961;860;79,9
170;388;315;187,7
171;433;70;134,3
172;116;292;145,7
173;264;540;57,0
174;76;564;89,2
175;247;445;106,9
176;42;866;165,5
177;988;538;69,1
178;77;75;85,8
179;664;842;102,4
180;419;541;98,4
181;46;609;146,3
182;624;658;133,0
183;761;523;191,4
184;954;696;40,5
185;807;151;81,1
186;22;882;85,6
187;320;646;133,6
188;682;723;87,4
189;591;702;191,9
190;163;587;96,7
191;327;755;171,8
192;467;531;65,0
193;172;439;130,4
194;8;378;86,4
195;469;286;44,5
196;502;45;130,0
197;278;681;68,1
198;104;123;43,4
199;638;65;87,0
200;806;705;115,8
201;87;388;88,3
202;70;459;112,3
203;427;812;175,1
204;727;965;61,5
205;736;661;45,2
206;108;285;68,1
207;635;631;193,4
208;442;797;104,0
209;808;238;38,2
210;494;268;80,7
211;761;524;151,0
212;455;188;116,5
213;843;3;86,7
214;84;342;167,1
215;509;878;44,1
216;98;641;68,9
217;835;478;125,5
218;814;202;134,1
219;285;973;122,7
220;33;673;146,9
221;729;323;174,3
222;193;813;75,3
223;702;480;188,5
224;748;318;130,4
225;925;844;133,4
226;814;904;172,2
227;68;961;92,8
228;59;627;121,3
229;773;483;122,0
230;845;468;68,6
231;904;365;75,8
232;613;161;168,2
233;79;325;49,9
234;532;267;54,4
235;426;537;174,6
236;382;505;72,0
237;603;595;88,5
238;700;327;44,0
239;58;709;131,6
240;166;753;62,6
241;554;159;75,4
242;251;439;177,0
243;925;3;129,5
244;97;16;50,5
245;97;24;72,2
246;667;660;151,4
247;355;936;40,7
248;130;923;128,1
249;852;837;107,1
250;507;813;138,9
251;381;911;44,9
252;554;116;170,7
253;387;383;59,7
254;908;985;129,1
255;236;723;179,0
256;479;755;53,1
257;728;93;42,0
258;85;31;115,9
259;861;58;44,3
260;348;13;115,7
261;850;535;134,6
262;833;72;93,6
263;393;995;123,4
264;433;581;75,1
265;184;919;121,3
266;20;992;120,1
267;680;498;91,3
268;330;163;128,6
269;115;593;131,3
270;100;942;131,1
271;768;928;183,3
272;466;983;55,1
273;477;550;122,5
274;599;837;177,7
275;406;531;186,2
276;596;274;186,9
277;60;921;159,3
278;622;862;115,9
279;550;949;180,3
280;301;792;77,7
281;108;477;101,2
282;354;963;48,6
283;856;708;141,3
284;493;303;130,1
285;817;131;56,0
286;557;353;139,9
287;183;731;120,3
288;910;91;103,2
289;833;437;151,3
290;72;12;42,0
291;94;829;135,8
292;619;456;183,1
293;761;88;66,6
294;317;184;152,8
295;357;202;180,8
296;516;212;70,9
297;655;419;142,8
298;789;881;68,6
299;439;945;97,4
300;823;190;147,9
301;523;905;109,2
302;561;376;152,8
303;13;539;129,6
304;591;737;158,1
305;827;661;133,6
306;788;713;62,4
307;455;357;52,8
308;200;213;112,2
309;982;944;186,7
310;199;197;124,1
311;344;164;133,8
312;859;498;145,8
313;855;650;179,1
314;605;903;102,9
315;961;616;84,6
316;100;482;146,0
317;266;819;82,3
318;391;167;55,3
319;791;757;89,6
320;291;577;113,3
321;490;126;64,1
322;25;95;113,8
323;20;522;146,5
324;121;204;123,3
325;755;392;137,8
326;549;56;116,6
327;43;240;105,3
328;110;305;140,5
329;739;76;120,9
330;84;184;86,9
331;953;127;169,6
332;108;836;171,1
333;76;779;72,9
334;331;883;41,9
335;45;791;89,1
336;791;266;57,4
337;854;741;83,7
338;66;316;121,5
339;322;731;98,4
340;162;83;127,9
341;110;342;68,1
342;648;917;148,3
343;987;835;145,2
344;53;290;90,1
345;339;605;191,4
346;508;883;115,3
347;946;885;55,1
348;628;906;109,4
349;986;694;40,7
350;660;678;100,3
351;309;48;157,7
352;873;461;182,3
353;949;410;169,6
354;193;531;107,3
355;890;388;112,0
356;104;508;109,1
357;81;698;95,6
358;778;937;171,1
359;704;356;154,2
360;469;110;55,0
361;687;142;89,0
362;158;154;131,2
363;471;294;125,9
364;439;348;140,5
365;25;467;181,1
366;661;710;59,4
367;113;935;83,3
368;316;819;124,0
369;807;40;116,5
370;687;897;133,6
371;255;902;139,9
372;730;134;62,4
373;698;366;47,2
374;219;270;72,6
375;728;209;49,5
376;137;420;141,6
377;814;593;103,2
378;315;153;109,8
379;60;763;69,7
380;324;822;96,2
381;226;7;190,5
382;613;135;110,1
383;989;857;51,2
384;904;996;75,1
385;460;538;125,5
386;828;569;123,3
387;951;678;121,6
388;819;618;121,1
389;991;254;39,2
390;253;75;118,9
391;588;802;110,0
392;840;877;152,6
393;750;865;53,8
394;260;38;95,5
395;244;697;48,5
396;63;980;82,4
397;620;219;140,6
398;800;109;57,4
399;467;220;79,5
400;417;647;45,7
401;938;810;63,8
402;898;705;131,4
403;507;121;151,6
404;154;615;193,5
405;993;267;169,3
406;162;507;180,3
407;817;539;159,7
408;358;136;152,2
409;527;863;55,3
410;275;964;161,7
411;555;502;152,8
412;439;480;79,7
413;237;9;123,1
414;501;789;86,9
415;79;432;185,5
416;636;429;190,1
417;272;761;99,7
418;178;460;71,4
419;454;640;116,5
420;515;783;148,7
421;734;311;107,1
422;226;723;145,7
423;946;827;174,1
424;473;856;121,8
425;176;494;172,5
426;641;87;143,6
